order_id,customer_id,order_date,total_amount,status
1,49949,2023-09-10,30667.8,Cancelled
2,5120,2023-12-14,33121.87,Shipped
3,1167,2024-04-07,36165.83,Pending
4,42589,2023-04-09,1449.0,Pending
5,11125,2025-03-09,9198.06,Pending
6,1071,2023-07-10,42581.52,Returned
7,32069,2024-10-25,47706.27,Delivered
8,3349,2024-10-21,3856.25,Shipped
9,37485,2024-08-03,40833.43,Returned
10,3380,2025-06-13,44783.13,Shipped
11,42495,2023-03-08,23581.34,Returned
12,16445,2022-09-12,26126.93,Pending
13,1811,2024-04-25,1463.44,Pending
14,25125,2024-10-07,15924.46,Delivered
15,4980,2024-07-18,12377.92,Returned
16,916,2024-05-23,5427.66,Pending
17,38900,2023-07-01,48806.95,Delivered
18,3767,2023-08-30,748.0,Returned
19,13763,2025-04-29,7836.89,Shipped
20,22939,2024-04-08,28132.42,Pending
21,712,2023-12-22,40966.38,Cancelled
22,40709,2022-12-22,43929.38,Shipped
23,11706,2025-02-19,23070.95,Returned
24,33117,2025-04-05,9475.0,Cancelled
25,23739,2022-08-03,14883.32,Returned
26,24885,2023-05-15,37373.23,Cancelled
27,42419,2024-07-11,38189.79,Pending
28,34957,2022-11-16,11331.46,Cancelled
29,3994,2023-07-23,2029.18,Cancelled
30,39114,2023-07-06,18950.56,Pending
31,8206,2022-12-22,15581.8,Returned
32,38017,2024-04-19,6735.21,Delivered
33,49940,2023-03-15,14912.65,Delivered
34,10888,2023-05-21,26051.68,Returned
35,9299,2024-08-06,3118.45,Returned
36,42441,2024-10-19,34698.21,Cancelled
37,159,2024-01-11,23212.29,Returned
38,3671,2024-08-19,42063.61,Delivered
39,37567,2024-11-07,7138.37,Delivered
40,19844,2023-03-22,37702.81,Pending
41,7757,2025-03-30,4698.11,Pending
42,17858,2024-11-28,17402.21,Returned
43,41404,2025-06-19,31810.19,Shipped
44,15079,2024-06-21,29025.8,Cancelled
45,47089,2023-08-04,16722.77,Delivered
46,23765,2022-12-03,21605.27,Shipped
47,39245,2025-03-03,12390.1,Cancelled
48,46402,2024-04-15,37820.43,Returned
49,49758,2023-01-20,21595.2,Delivered
50,11007,2022-11-14,3846.63,Cancelled
51,26565,2024-06-07,37689.94,Pending
52,2609,2022-11-12,705.49,Returned
53,48355,2024-03-01,31225.15,Returned
54,38647,2022-09-12,41451.34,Shipped
55,44359,2023-03-24,17343.06,Delivered
56,14895,2023-02-28,47569.29,Pending
57,41319,2023-04-02,9450.35,Shipped
58,37272,2023-05-19,20371.41,Returned
59,39462,2023-05-12,43666.56,Returned
60,35708,2024-12-31,9263.16,Shipped
61,11760,2024-12-08,38009.64,Returned
62,6103,2023-06-19,19061.15,Returned
63,4587,2023-11-22,14719.55,Returned
64,43805,2023-04-26,23528.47,Cancelled
65,19351,2023-01-06,2535.9,Cancelled
66,46122,2023-03-14,29588.37,Shipped
67,465,2022-09-08,45073.63,Pending
68,8424,2024-05-27,36428.35,Returned
69,11582,2024-01-16,29027.96,Shipped
70,32656,2025-04-14,37540.44,Shipped
71,14205,2022-12-29,32930.98,Pending
72,5654,2024-09-22,9183.92,Shipped
73,26987,2024-10-11,19485.74,Delivered
74,15522,2023-02-05,21991.54,Cancelled
75,7840,2023-04-11,30343.86,Pending
76,4052,2024-11-16,16063.58,Cancelled
77,47604,2025-06-20,19984.1,Returned
78,43147,2024-10-18,32511.89,Pending
79,6445,2022-11-12,15554.92,Cancelled
80,44020,2023-04-01,38402.39,Pending
81,20004,2025-04-04,49394.66,Pending
82,14296,2025-03-05,877.88,Shipped
83,31564,2024-09-26,45313.2,Pending
84,39868,2023-11-03,40209.94,Pending
85,36169,2025-02-21,39365.38,Pending
86,187,2023-08-16,22216.48,Pending
87,35624,2023-02-13,32605.66,Shipped
88,4922,2024-01-19,43745.69,Delivered
89,10029,2023-07-30,15098.41,Pending
90,14207,2023-07-25,25167.21,Delivered
91,46852,2023-08-08,13622.66,Cancelled
92,24047,2024-02-20,33770.02,Pending
93,47486,2023-10-26,24429.34,Shipped
94,22606,2024-05-07,31153.13,Pending
95,30673,2024-12-21,45875.49,Cancelled
96,33045,2024-05-06,3772.07,Delivered
97,33564,2024-05-23,32192.47,Delivered
98,35665,2024-05-11,9555.47,Cancelled
99,2845,2023-11-21,35073.43,Cancelled
100,33506,2023-01-20,26837.99,Pending
101,11232,2024-01-16,18801.76,Delivered
102,18426,2024-08-29,49579.56,Shipped
103,174,2025-04-02,23986.22,Delivered
104,38384,2023-02-08,37380.16,Shipped
105,14910,2023-04-16,49294.82,Delivered
106,25259,2024-04-24,43077.73,Shipped
107,16285,2024-04-29,22409.47,Pending
108,42325,2024-01-14,29188.78,Shipped
109,41820,2023-04-20,38086.02,Shipped
110,10461,2025-01-06,13254.9,Cancelled
111,27914,2023-02-26,41886.98,Shipped
112,32985,2024-01-17,46961.5,Cancelled
113,38579,2022-08-25,37106.09,Shipped
114,2971,2022-08-14,1364.7,Delivered
115,21984,2024-05-31,13162.27,Pending
116,42595,2024-03-19,10098.22,Pending
117,39219,2024-08-21,48306.65,Returned
118,42724,2023-11-15,1159.54,Cancelled
119,183,2025-06-10,8068.21,Shipped
120,45325,2024-01-27,44204.9,Delivered
121,14261,2024-12-22,42867.96,Cancelled
122,32817,2024-03-04,17757.54,Delivered
123,8685,2023-11-18,39181.69,Delivered
124,12704,2023-10-13,9192.94,Returned
125,11051,2024-06-01,48037.25,Delivered
126,44182,2022-09-18,49959.22,Delivered
127,19808,2023-11-20,41689.76,Pending
128,47657,2023-07-25,1587.24,Returned
129,41922,2025-05-28,9384.04,Delivered
130,21979,2024-11-30,15031.68,Returned
131,27531,2025-05-07,45631.49,Delivered
132,39208,2022-09-16,35403.15,Delivered
133,21972,2023-02-03,35972.98,Cancelled
134,11036,2023-11-25,49469.0,Returned
135,18447,2022-12-09,30671.78,Delivered
136,44267,2024-03-24,12285.61,Delivered
137,39049,2024-04-11,38261.15,Returned
138,25655,2023-08-04,1496.34,Shipped
139,20167,2024-10-17,14876.82,Delivered
140,10926,2023-11-15,27178.97,Returned
141,6987,2024-01-03,45876.22,Pending
142,28206,2023-04-17,37709.67,Shipped
143,26904,2023-09-20,8980.31,Cancelled
144,26675,2023-04-10,40845.73,Shipped
145,44539,2024-02-24,6154.76,Cancelled
146,4223,2024-01-23,33434.03,Shipped
147,29752,2024-10-11,49143.13,Shipped
148,12877,2023-04-23,45349.6,Pending
149,9937,2022-12-02,10792.61,Cancelled
150,23703,2023-07-31,35521.4,Cancelled
151,10184,2025-03-21,29062.17,Returned
152,9129,2022-09-16,24150.17,Shipped
153,35656,2023-09-27,46410.61,Returned
154,49557,2023-09-26,11850.56,Delivered
155,43566,2023-05-09,48576.66,Pending
156,40466,2023-12-27,31164.25,Pending
157,32697,2023-05-17,26115.92,Cancelled
158,11502,2023-02-08,41083.3,Shipped
159,6031,2025-05-17,9852.88,Cancelled
160,22110,2022-10-22,37760.24,Returned
161,41512,2024-09-23,10715.36,Shipped
162,38216,2024-05-27,26450.82,Delivered
163,38825,2023-08-08,26336.15,Cancelled
164,27464,2023-10-10,14968.53,Shipped
165,4061,2024-04-30,16202.14,Delivered
166,45414,2023-01-27,42476.69,Shipped
167,21456,2025-01-03,29329.89,Delivered
168,5413,2025-02-25,42677.91,Cancelled
169,37717,2025-04-09,29425.7,Returned
170,8133,2024-05-08,3065.09,Pending
171,12787,2025-04-07,30700.27,Delivered
172,47513,2022-09-16,10267.21,Shipped
173,19397,2024-10-02,24570.2,Returned
174,6374,2023-04-18,11975.96,Returned
175,15444,2024-09-22,11462.81,Returned
176,10872,2025-01-18,20733.58,Cancelled
177,29346,2022-11-24,20365.39,Returned
178,10576,2023-10-27,4214.55,Delivered
179,15385,2024-08-16,36159.98,Cancelled
180,43388,2024-12-15,33108.65,Returned
181,11524,2023-05-26,4931.13,Delivered
182,20418,2025-01-04,11881.9,Pending
183,43091,2022-11-16,21825.42,Delivered
184,46936,2023-10-10,28731.91,Cancelled
185,43797,2024-02-03,49706.75,Cancelled
186,8609,2025-04-11,49379.58,Shipped
187,29064,2024-01-05,34199.42,Shipped
188,46042,2023-09-02,10085.53,Returned
189,20034,2022-09-07,45686.08,Pending
190,17817,2024-03-19,41017.09,Returned
191,20986,2024-03-11,11024.17,Delivered
192,35531,2025-04-24,16470.84,Delivered
193,27948,2024-07-29,39425.9,Returned
194,38178,2024-07-24,5930.6,Returned
195,2587,2025-06-04,1020.23,Pending
196,10650,2024-10-24,13440.43,Pending
197,24200,2022-06-24,40472.09,Pending
198,20912,2024-01-29,32053.72,Pending
199,46856,2023-04-08,11271.57,Delivered
200,19345,2024-10-31,21624.52,Returned
201,33094,2025-01-02,426.27,Returned
202,27976,2023-01-17,18991.37,Pending
203,29303,2024-04-29,27746.46,Cancelled
204,25730,2023-05-01,38390.88,Delivered
205,14203,2024-01-07,45054.09,Returned
206,10456,2023-09-01,3770.74,Shipped
207,40288,2024-09-15,12228.09,Shipped
208,7453,2025-02-18,33786.46,Cancelled
209,27682,2024-12-23,46040.95,Returned
210,49198,2023-07-19,49691.72,Cancelled
211,5409,2024-02-01,31130.22,Pending
212,3043,2023-02-18,10410.24,Cancelled
213,12425,2023-02-17,36525.71,Shipped
214,5231,2022-08-20,23623.5,Pending
215,32578,2025-06-06,26324.02,Shipped
216,19220,2023-11-11,17318.87,Cancelled
217,23673,2024-01-07,10752.5,Delivered
218,44286,2023-08-09,17393.11,Delivered
219,12591,2023-04-11,37374.02,Shipped
220,35606,2024-12-08,9852.51,Returned
221,4005,2024-04-26,27185.43,Shipped
222,38402,2022-09-11,32455.84,Cancelled
223,45277,2024-11-26,2704.36,Returned
224,3884,2025-03-19,34855.02,Pending
225,26413,2023-09-13,25088.31,Cancelled
226,43419,2022-09-05,43769.51,Cancelled
227,40913,2023-12-23,501.24,Delivered
228,48346,2023-03-08,44487.69,Pending
229,34233,2025-03-03,14088.91,Returned
230,39824,2022-12-03,23801.5,Pending
231,41889,2024-09-21,32525.66,Returned
232,33336,2025-04-20,7462.77,Delivered
233,49537,2023-05-25,47724.46,Pending
234,28097,2023-12-27,7550.93,Delivered
235,1860,2023-07-11,46528.78,Delivered
236,17363,2022-07-24,40566.13,Delivered
237,40155,2023-07-28,7911.64,Shipped
238,6783,2025-04-10,45514.96,Shipped
239,5153,2022-09-23,22605.12,Shipped
240,14148,2023-10-30,42237.76,Pending
241,39870,2022-12-06,38330.84,Pending
